watch_type,project,country,2036_gross_technical_ktU,option_capacity_ktU_y,earliest_FID_year,construction_years,hurdle_base_2026real_USD_lb,realization_ceiling,capacity_quality,why_watch,status_source_url,capacity_source_url,schedule_source_url
Known_preFID_2036_critical,Muntanga,Zambia,0.8462189399184552,0.8462189399184552,2028,2,80.0,0.58,A-/B+,2036 gross technical supply relies on this pre-FID project; delay affects late-decade gap more than spot price can repair.,https://atomiceagle.com.au/projects/muntanga-uranium-project/,,https://atomiceagle.com.au/projects/muntanga-uranium-project/
Frontier_option,McArthur River / Key Lake licensed-capacity expansion,Canada,,3.3,2027,3,105.0,0.8,A-/derived from official licence,"Frontier supply reduces the right tail only if economics, permitting and timing all convert into actual FID/production; high price alone does not guarantee realization.",https://www.cameco.com/businesses/uranium-operations/canada/mcarthur-river-key-lake,https://www.cameco.com/invest/financial-information/annual-reports/2025,
Frontier_option,Trekkopje restart,Namibia,,3.2,2027,3,115.0,0.55,C / historical design proxy,"Frontier supply reduces the right tail only if economics, permitting and timing all convert into actual FID/production; high price alone does not guarantee realization.",https://www.orano.group/en/orano-across-the-world/namibia,https://www.namibianuranium.org/trekkopje-mine/,
Frontier_option,Yeelirrie,Australia,,3.0,2030,4,140.0,0.15,C / analyst proxy,"Frontier supply reduces the right tail only if economics, permitting and timing all convert into actual FID/production; high price alone does not guarantee realization.",https://www.cameco.com/businesses/uranium-projects/yeelirrie,https://www.cameco.com/businesses/uranium-projects/yeelirrie,
Frontier_option,Kintyre,Australia,,2.7,2030,4,130.0,0.2,C / analyst proxy,"Frontier supply reduces the right tail only if economics, permitting and timing all convert into actual FID/production; high price alone does not guarantee realization.",https://www.cameco.com/businesses/uranium-projects/kintyre,https://www.cameco.com/businesses/uranium-projects/kintyre/reserves-resources,
Frontier_option,Millennium,Canada,,2.0,2029,4,115.0,0.3,C / analyst proxy,"Frontier supply reduces the right tail only if economics, permitting and timing all convert into actual FID/production; high price alone does not guarantee realization.",https://www.cameco.com/businesses/uranium-projects/millennium,https://www.cameco.com/businesses/uranium-projects/millennium,
Frontier_option,Salamanca,Spain,,1.69,2028,3,95.0,0.2,"B- / old DFS, regulatory uncertainty","Frontier supply reduces the right tail only if economics, permitting and timing all convert into actual FID/production; high price alone does not guarantee realization.",https://www.berkeleyenergia.com/,https://www.berkeleyenergia.com/salamanca-project-overview/project-studies-all/,
Frontier_option,Hurricane early-development option,Canada,,1.5,2031,4,120.0,0.2,D+ / resource-based analyst proxy,"Frontier supply reduces the right tail only if economics, permitting and timing all convert into actual FID/production; high price alone does not guarantee realization.",https://www.isoenergy.ca/news-media/news/isoenergy-confirms-high-grade-uranium-mineralization-on-the-hurricane-south-trend-with-up-to-421-u3o8-over-35-m-including-up-to-116-u3o8-over-10-m,https://www.isoenergy.ca/news-media/news/isoenergy-commences-2026-winter-drilling-program--at-the-larocque-east-project-athabasca-basin,
Frontier_option,Energy Fuels large-scale development increment,United States,,1.08,2027,3,100.0,0.7,B+/derived from official portfolio target,"Frontier supply reduces the right tail only if economics, permitting and timing all convert into actual FID/production; high price alone does not guarantee realization.",https://investors.energyfuels.com/2025-11-03-Energy-Fuels-Announces-Q3-2025-Results,https://investors.energyfuels.com/2025-11-03-Energy-Fuels-Announces-Q3-2025-Results,
Frontier_option,Wiluna / Lake Maitland,Australia,,0.5,2028,3,100.0,0.45,B- / scoping-level,"Frontier supply reduces the right tail only if economics, permitting and timing all convert into actual FID/production; high price alone does not guarantee realization.",https://www.isoenergy.ca/portfolio/australia/wiluna/,https://www.isoenergy.ca/portfolio/australia/wiluna/,
Frontier_option,DISA / IsoEnergy Utah restart basket,United States,,0.45,2027,1,90.0,0.65,C / analyst proxy,"Frontier supply reduces the right tail only if economics, permitting and timing all convert into actual FID/production; high price alone does not guarantee realization.",https://www.isoenergy.ca/news-media/news/isoenergy-and-disa-technologies-to-form-disa-uranium-corporation-creating-a-technology-enabled-us-uranium-platform-for-production-processing-and-remediation,https://www.isoenergy.ca/portfolio/us/tony-m/,
