app_id,app_name,historical_name,bundle_package_id,owner,month,country,platform,downloads,mau,dau,store_revenue,rank_category,rank_grossing,rating,rating_count,review_increment,update_count,data_provider,secondary_check,confidence,collected_date,note
MOMO-APP-003,SoulChill,,Android com.live.soulchill,Hello Group / SpaceCape Technology Pte. Ltd.,2026-07,Global,Android,590000,,,,,,4.19,190000,,,AppBrain,Hello Group 2025 Form 20-F; Google Play,medium,2026-08-01,Rolling 30-day Android downloads as of 2026-08-01; cumulative proxy 50m; last update 2026-07-20. Not MAU or all-platform downloads.
MOMO-APP-005,Yaahlan,,Android com.immomo.biz.yaahlan,Hello Group / Yaahlan Team,2026-07,Global,Android,670000,,,,,,3.56,12000,,,AppBrain,Hello Group 2025 Form 20-F; package prefix,medium,2026-08-01,Rolling 30-day Android downloads; cumulative proxy 11m; last update 2026-07-30. High acquisition velocity but rating quality is weaker.
MOMO-APP-006,Amar,,Android com.immomo.biz.ddoversea,Hello Group / DeepMatch Technology Pte. Ltd.,2026-07,Global,Android,500000,,,,,,4.33,41000,,,AppBrain,Hello Group 2025 Form 20-F; developer email @hellogroup.com,medium,2026-08-01,Rolling 30-day Android downloads; cumulative proxy 9.9m; last update 2026-07-28.
MOMO-APP-004,Happn,,Android com.ftw_and_co.happn,Hello Group / HAPPN,2026-07,Global,Android,750000,,,,,,3.99,2000000,,,AppBrain,Hello Group 2025 Form 20-F,medium,2026-08-01,"Rolling 30-day Android downloads; cumulative proxy 120m. Not MAU, registrations or all-platform downloads."
MOMO-APP-002,Tantan Global,探探 / legacy TanTan Asian Dating,legacy Android com.p1.mobile.putong; current Android com.tantantribe.tribe,Hello Group / Hello Planet Pte. Ltd.,2026-07,Global ex-China,Android,320000,,,,,,3.9,18000,,,AppBrain,Legacy package AppBrain; Hello Group 2025 Form 20-F,medium,2026-08-01,Current international package rolling 30-day downloads; cumulative proxy 3m. Do not splice directly with legacy package history.
MOMO-APP-002,Tantan,探探 / TanTan Asian Dating,Android com.p1.mobile.putong,Hello Group / Hello Planet Pte. Ltd.,2026-03,Global ex-China,Android,,,,,,,3.6,1410000,,,AppBrain / Google Play archive,Current package com.tantantribe.tribe,high,2026-08-01,"Legacy Android package removed from Google Play on 2026-03-30 after about 90m cumulative downloads. This is a package event, not a monthly download observation."
MOMO-APP-003,SoulChill,,Android com.live.soulchill,Hello Group / SpaceCape Technology Pte. Ltd.,2026-08,Germany,Android,,,,,13,6,,,,,AppBrain,Company filing / Google Play,medium,2026-08-01,Point-in-time public ranking snapshot. Social top free #13; social top grossing #6; overall top grossing #67; ranking history and exact store revenue unavailable.
MOMO-APP-003,SoulChill,,Android com.live.soulchill,Hello Group / SpaceCape Technology Pte. Ltd.,2026-08,Saudi Arabia,Android,,,,,,35,,,,,AppBrain,Company filing / Google Play,medium,2026-08-01,Point-in-time public ranking snapshot. Overall top grossing #35; ranking history and exact store revenue unavailable.
MOMO-APP-003,SoulChill,,Android com.live.soulchill,Hello Group / SpaceCape Technology Pte. Ltd.,2026-08,Turkey,Android,,,,,18,37,,,,,AppBrain,Company filing / Google Play,medium,2026-08-01,Point-in-time public ranking snapshot. Social top free #18; overall top grossing #37; legal reinstatement not confirmed; ranking history and exact store revenue unavailable.
MOMO-APP-003,SoulChill,,Android com.live.soulchill,Hello Group / SpaceCape Technology Pte. Ltd.,2026-08,Netherlands,Android,,,,,19,6,,,,,AppBrain,Company filing / Google Play,medium,2026-08-01,Point-in-time public ranking snapshot. Social top free #19; social top grossing #6; ranking history and exact store revenue unavailable.
MOMO-APP-003,SoulChill,,Android com.live.soulchill,Hello Group / SpaceCape Technology Pte. Ltd.,2026-08,France,Android,,,,,38,,,,,,AppBrain,Company filing / Google Play,medium,2026-08-01,Point-in-time public ranking snapshot. Social top free #38; ranking history and exact store revenue unavailable.
MOMO-APP-005,Yaahlan,,Android com.immomo.biz.yaahlan,Hello Group / Yaahlan Team,2026-08,Saudi Arabia,Android,,,,,32,64,,,,,AppBrain,Company filing / Google Play,medium,2026-08-01,Point-in-time public ranking snapshot. Social top free #32; overall/applications top grossing #64; ranking history and exact store revenue unavailable.
MOMO-APP-005,Yaahlan,,Android com.immomo.biz.yaahlan,Hello Group / Yaahlan Team,2026-08,Germany,Android,,,,,25,32,,,,,AppBrain,Company filing / Google Play,medium,2026-08-01,Point-in-time public ranking snapshot. Social top free #25; social top grossing #32; ranking history and exact store revenue unavailable.
MOMO-APP-005,Yaahlan,,Android com.immomo.biz.yaahlan,Hello Group / Yaahlan Team,2026-08,France,Android,,,,,59,,,,,,AppBrain,Company filing / Google Play,medium,2026-08-01,Point-in-time public ranking snapshot. Social top free #59; ranking history and exact store revenue unavailable.
MOMO-APP-005,Yaahlan,,Android com.immomo.biz.yaahlan,Hello Group / Yaahlan Team,2026-08,Netherlands,Android,,,,,34,,,,,,AppBrain,Company filing / Google Play,medium,2026-08-01,Point-in-time public ranking snapshot. Social top free #34; ranking history and exact store revenue unavailable.
MOMO-APP-005,Yaahlan,,Android com.immomo.biz.yaahlan,Hello Group / Yaahlan Team,2026-08,Switzerland,Android,,,,,36,,,,,,AppBrain,Company filing / Google Play,medium,2026-08-01,Point-in-time public ranking snapshot. Social top free #36; ranking history and exact store revenue unavailable.
MOMO-APP-005,Yaahlan,,Android com.immomo.biz.yaahlan,Hello Group / Yaahlan Team,2026-08,United States,Android,,,,,133,,,,,,AppBrain,Company filing / Google Play,medium,2026-08-01,Point-in-time public ranking snapshot. Social top free #133; ranking history and exact store revenue unavailable.
MOMO-APP-005,Yaahlan,,Android com.immomo.biz.yaahlan,Hello Group / Yaahlan Team,2026-08,Turkey,Android,,,,,,174,,,,,AppBrain,Company filing / Google Play,medium,2026-08-01,Point-in-time public ranking snapshot. Overall top grossing #174; ranking history and exact store revenue unavailable.
MOMO-APP-006,Amar,,Android com.immomo.biz.ddoversea,Hello Group / DeepMatch Technology Pte. Ltd.,2026-08,Turkey,Android,,,,,13,22,,,,,AppBrain,Company filing / Google Play,medium,2026-08-01,Point-in-time public ranking snapshot. Social top free #13; social top grossing #7; overall top grossing #22; ranking history and exact store revenue unavailable.
MOMO-APP-006,Amar,,Android com.immomo.biz.ddoversea,Hello Group / DeepMatch Technology Pte. Ltd.,2026-08,Germany,Android,,,,,20,,,,,,AppBrain,Company filing / Google Play,medium,2026-08-01,Point-in-time public ranking snapshot. Social top free #20; ranking history and exact store revenue unavailable.
MOMO-APP-006,Amar,,Android com.immomo.biz.ddoversea,Hello Group / DeepMatch Technology Pte. Ltd.,2026-08,France,Android,,,,,82,,,,,,AppBrain,Company filing / Google Play,medium,2026-08-01,Point-in-time public ranking snapshot. Social top free #82; ranking history and exact store revenue unavailable.
MOMO-APP-006,Amar,,Android com.immomo.biz.ddoversea,Hello Group / DeepMatch Technology Pte. Ltd.,2026-08,Iran,Android,,,,,,144,,,,,AppBrain,Company filing / Google Play,medium,2026-08-01,Point-in-time public ranking snapshot. Overall top grossing #144; ranking history and exact store revenue unavailable.
MOMO-APP-006,Amar,,Android com.immomo.biz.ddoversea,Hello Group / DeepMatch Technology Pte. Ltd.,2026-08,Netherlands,Android,,,,,48,,,,,,AppBrain,Company filing / Google Play,medium,2026-08-01,Point-in-time public ranking snapshot. Social top free #48; ranking history and exact store revenue unavailable.
MOMO-APP-004,Happn,,Android com.ftw_and_co.happn,Hello Group / HAPPN,2026-08,Australia,Android,,,,,1,,,,,,AppBrain,Company filing / Google Play,medium,2026-08-01,Point-in-time public ranking snapshot. Dating top free #1; ranking history and exact store revenue unavailable.
MOMO-APP-004,Happn,,Android com.ftw_and_co.happn,Hello Group / HAPPN,2026-08,Turkey,Android,,,,,1,19,,,,,AppBrain,Company filing / Google Play,medium,2026-08-01,Point-in-time public ranking snapshot. Dating top free #1; overall top grossing #19; ranking history and exact store revenue unavailable.
MOMO-APP-004,Happn,,Android com.ftw_and_co.happn,Hello Group / HAPPN,2026-08,Canada,Android,,,,,4,,,,,,AppBrain,Company filing / Google Play,medium,2026-08-01,Point-in-time public ranking snapshot. Dating top free #4; ranking history and exact store revenue unavailable.
MOMO-APP-004,Happn,,Android com.ftw_and_co.happn,Hello Group / HAPPN,2026-08,France,Android,,,,,5,30,,,,,AppBrain,Company filing / Google Play,medium,2026-08-01,Point-in-time public ranking snapshot. Dating top free #5; overall top grossing #30; ranking history and exact store revenue unavailable.
MOMO-APP-004,Happn,,Android com.ftw_and_co.happn,Hello Group / HAPPN,2026-08,Netherlands,Android,,,,,3,,,,,,AppBrain,Company filing / Google Play,medium,2026-08-01,Point-in-time public ranking snapshot. Dating top free #3; ranking history and exact store revenue unavailable.
MOMO-APP-004,Happn,,Android com.ftw_and_co.happn,Hello Group / HAPPN,2026-08,Belgium,Android,,,,,5,,,,,,AppBrain,Company filing / Google Play,medium,2026-08-01,Point-in-time public ranking snapshot. Dating top free #5; ranking history and exact store revenue unavailable.
MOMO-APP-004,Happn,,Android com.ftw_and_co.happn,Hello Group / HAPPN,2026-08,Spain,Android,,,,,5,,,,,,AppBrain,Company filing / Google Play,medium,2026-08-01,Point-in-time public ranking snapshot. Dating top free #5; ranking history and exact store revenue unavailable.
MOMO-APP-004,Happn,,Android com.ftw_and_co.happn,Hello Group / HAPPN,2026-08,Brazil,Android,,,,,6,,,,,,AppBrain,Company filing / Google Play,medium,2026-08-01,Point-in-time public ranking snapshot. Dating top free #6; ranking history and exact store revenue unavailable.
MOMO-APP-002,Tantan Global,探探,Android com.tantantribe.tribe,Hello Group / Hello Planet Pte. Ltd.,2026-08,Indonesia,Android,,,,,1,,,,,,AppBrain,Company filing / Google Play,medium,2026-08-01,Point-in-time public ranking snapshot. Dating top free #1 on current global package; ranking history and exact store revenue unavailable.
MOMO-APP-002,Tantan Global,探探,Android com.tantantribe.tribe,Hello Group / Hello Planet Pte. Ltd.,2026-08,Iran,Android,,,,,,7,,,,,AppBrain,Company filing / Google Play,medium,2026-08-01,Point-in-time public ranking snapshot. Dating top grossing #7 on current global package; ranking history and exact store revenue unavailable.
MOMO-APP-002,Tantan Global,探探,Android com.tantantribe.tribe,Hello Group / Hello Planet Pte. Ltd.,2026-08,United States,Android,,,,,50,,,,,,AppBrain,Company filing / Google Play,medium,2026-08-01,Point-in-time public ranking snapshot. Dating top free #50; ranking history and exact store revenue unavailable.
MOMO-APP-002,Tantan Global,探探,Android com.tantantribe.tribe,Hello Group / Hello Planet Pte. Ltd.,2026-08,Canada,Android,,,,,50,,,,,,AppBrain,Company filing / Google Play,medium,2026-08-01,Point-in-time public ranking snapshot. Dating top free #50; ranking history and exact store revenue unavailable.
