Sheet,Cell,Formula
00_Summary,E23,=C23/('04_Zangge_Valuation'!B18*'07_Assumptions'!$B$9)
00_Summary,F23,=D23/'06_Zijin_Valuation'!B25
00_Summary,B24,='06_Zijin_Valuation'!B25-'06_Zijin_Valuation'!B14
00_Summary,D24,=B24
00_Summary,F24,=D24/'06_Zijin_Valuation'!B25
01_Copper_Market,B11,=B10/1.13
01_Copper_Market,C11,=C10/1.13
01_Copper_Market,D11,=D10/1.13
01_Copper_Market,E11,=E10/1.13
01_Copper_Market,F11,=F10/1.13
01_Copper_Market,G11,=G10/1.13
01_Copper_Market,H11,=H10/1.13
01_Copper_Market,I11,=I10/1.13
01_Copper_Market,J11,=J10/1.13
01_Copper_Market,K11,=K10/1.13
01_Copper_Market,B12,=B11/B5
01_Copper_Market,C12,=C11/C5
01_Copper_Market,D12,=D11/D5
01_Copper_Market,E12,=E11/E5
01_Copper_Market,F12,=F11/F5
01_Copper_Market,G12,=G11/G5
01_Copper_Market,H12,=H11/H5
01_Copper_Market,I12,=I11/I5
01_Copper_Market,J12,=J11/J5
01_Copper_Market,K12,=K11/K5
02_Shared_Julong,B5,='01_Copper_Market'!B11
02_Shared_Julong,C5,='01_Copper_Market'!C11
02_Shared_Julong,D5,='01_Copper_Market'!D11
02_Shared_Julong,E5,='01_Copper_Market'!E11
02_Shared_Julong,F5,='01_Copper_Market'!F11
02_Shared_Julong,G5,='01_Copper_Market'!G11
02_Shared_Julong,H5,='01_Copper_Market'!H11
02_Shared_Julong,I5,='01_Copper_Market'!I11
02_Shared_Julong,J5,='01_Copper_Market'!J11
02_Shared_Julong,K5,='01_Copper_Market'!K11
02_Shared_Julong,C6,=B6*(1+'07_Assumptions'!$B$11)
02_Shared_Julong,D6,=C6*(1+'07_Assumptions'!$B$11)
02_Shared_Julong,E6,=D6*(1+'07_Assumptions'!$B$11)
02_Shared_Julong,F6,=E6*(1+'07_Assumptions'!$B$11)
02_Shared_Julong,G6,=F6*(1+'07_Assumptions'!$B$11)
02_Shared_Julong,H6,=G6*(1+'07_Assumptions'!$B$11)
02_Shared_Julong,I6,=H6*(1+'07_Assumptions'!$B$11)
02_Shared_Julong,J6,=I6*(1+'07_Assumptions'!$B$11)
02_Shared_Julong,K6,=J6*(1+'07_Assumptions'!$B$11)
02_Shared_Julong,B7,=B4*1000*B5/1000000000
02_Shared_Julong,C7,=C4*1000*C5/1000000000
02_Shared_Julong,D7,=D4*1000*D5/1000000000
02_Shared_Julong,E7,=E4*1000*E5/1000000000
02_Shared_Julong,F7,=F4*1000*F5/1000000000
02_Shared_Julong,G7,=G4*1000*G5/1000000000
02_Shared_Julong,H7,=H4*1000*H5/1000000000
02_Shared_Julong,I7,=I4*1000*I5/1000000000
02_Shared_Julong,J7,=J4*1000*J5/1000000000
02_Shared_Julong,K7,=K4*1000*K5/1000000000
02_Shared_Julong,B8,=B4*1000*(B5-B6)/1000000000
02_Shared_Julong,C8,=C4*1000*(C5-C6)/1000000000
02_Shared_Julong,D8,=D4*1000*(D5-D6)/1000000000
02_Shared_Julong,E8,=E4*1000*(E5-E6)/1000000000
02_Shared_Julong,F8,=F4*1000*(F5-F6)/1000000000
02_Shared_Julong,G8,=G4*1000*(G5-G6)/1000000000
02_Shared_Julong,H8,=H4*1000*(H5-H6)/1000000000
02_Shared_Julong,I8,=I4*1000*(I5-I6)/1000000000
02_Shared_Julong,J8,=J4*1000*(J5-J6)/1000000000
02_Shared_Julong,K8,=K4*1000*(K5-K6)/1000000000
02_Shared_Julong,B10,=B8*B9
02_Shared_Julong,C10,=C8*C9
02_Shared_Julong,D10,=D8*D9
02_Shared_Julong,E10,=E8*E9
02_Shared_Julong,F10,=F8*F9
02_Shared_Julong,G10,=G8*G9
02_Shared_Julong,H10,=H8*H9
02_Shared_Julong,I10,=I8*I9
02_Shared_Julong,J10,=J8*J9
02_Shared_Julong,K10,=K8*K9
02_Shared_Julong,B12,=B8*B11
02_Shared_Julong,C12,=C8*C11
02_Shared_Julong,D12,=D8*D11
02_Shared_Julong,E12,=E8*E11
02_Shared_Julong,F12,=F8*F11
02_Shared_Julong,G12,=G8*G11
02_Shared_Julong,H12,=H8*H11
02_Shared_Julong,I12,=I8*I11
02_Shared_Julong,J12,=J8*J11
02_Shared_Julong,K12,=K8*K11
02_Shared_Julong,B16,=C10/(1+'07_Assumptions'!$B$4)^1+D10/(1+'07_Assumptions'!$B$4)^2+E10/(1+'07_Assumptions'!$B$4)^3+F10/(1+'07_Assumptions'!$B$4)^4+G10/(1+'07_Assumptions'!$B$4)^5+H10/(1+'07_Assumptions'!$B$4)^6+I10/(1+'07_Assumptions'!$B$4)^7+J10/(1+'07_Assumptions'!$B$4)^8+K10/(1+'07_Assumptions'!$B$4)^9+$K$10*'07_Assumptions'!$B$27/(1+'07_Assumptions'!$B$4)^9
02_Shared_Julong,C16,=D10/(1+'07_Assumptions'!$B$4)^1+E10/(1+'07_Assumptions'!$B$4)^2+F10/(1+'07_Assumptions'!$B$4)^3+G10/(1+'07_Assumptions'!$B$4)^4+H10/(1+'07_Assumptions'!$B$4)^5+I10/(1+'07_Assumptions'!$B$4)^6+J10/(1+'07_Assumptions'!$B$4)^7+K10/(1+'07_Assumptions'!$B$4)^8+$K$10*'07_Assumptions'!$B$27/(1+'07_Assumptions'!$B$4)^8
02_Shared_Julong,D16,=E10/(1+'07_Assumptions'!$B$4)^1+F10/(1+'07_Assumptions'!$B$4)^2+G10/(1+'07_Assumptions'!$B$4)^3+H10/(1+'07_Assumptions'!$B$4)^4+I10/(1+'07_Assumptions'!$B$4)^5+J10/(1+'07_Assumptions'!$B$4)^6+K10/(1+'07_Assumptions'!$B$4)^7+$K$10*'07_Assumptions'!$B$27/(1+'07_Assumptions'!$B$4)^7
02_Shared_Julong,E16,=F10/(1+'07_Assumptions'!$B$4)^1+G10/(1+'07_Assumptions'!$B$4)^2+H10/(1+'07_Assumptions'!$B$4)^3+I10/(1+'07_Assumptions'!$B$4)^4+J10/(1+'07_Assumptions'!$B$4)^5+K10/(1+'07_Assumptions'!$B$4)^6+$K$10*'07_Assumptions'!$B$27/(1+'07_Assumptions'!$B$4)^6
02_Shared_Julong,F16,=G10/(1+'07_Assumptions'!$B$4)^1+H10/(1+'07_Assumptions'!$B$4)^2+I10/(1+'07_Assumptions'!$B$4)^3+J10/(1+'07_Assumptions'!$B$4)^4+K10/(1+'07_Assumptions'!$B$4)^5+$K$10*'07_Assumptions'!$B$27/(1+'07_Assumptions'!$B$4)^5
02_Shared_Julong,G16,=H10/(1+'07_Assumptions'!$B$4)^1+I10/(1+'07_Assumptions'!$B$4)^2+J10/(1+'07_Assumptions'!$B$4)^3+K10/(1+'07_Assumptions'!$B$4)^4+$K$10*'07_Assumptions'!$B$27/(1+'07_Assumptions'!$B$4)^4
02_Shared_Julong,H16,=I10/(1+'07_Assumptions'!$B$4)^1+J10/(1+'07_Assumptions'!$B$4)^2+K10/(1+'07_Assumptions'!$B$4)^3+$K$10*'07_Assumptions'!$B$27/(1+'07_Assumptions'!$B$4)^3
02_Shared_Julong,I16,=J10/(1+'07_Assumptions'!$B$4)^1+K10/(1+'07_Assumptions'!$B$4)^2+$K$10*'07_Assumptions'!$B$27/(1+'07_Assumptions'!$B$4)^2
02_Shared_Julong,J16,=K10/(1+'07_Assumptions'!$B$4)^1+$K$10*'07_Assumptions'!$B$27/(1+'07_Assumptions'!$B$4)^1
02_Shared_Julong,K16,=K10*'07_Assumptions'!$B$27
02_Shared_Julong,B17,=C10/(1+'07_Assumptions'!$B$4)^1+D10/(1+'07_Assumptions'!$B$4)^2+E10/(1+'07_Assumptions'!$B$4)^3+F10/(1+'07_Assumptions'!$B$4)^4+G10/(1+'07_Assumptions'!$B$4)^5+H10/(1+'07_Assumptions'!$B$4)^6+I10/(1+'07_Assumptions'!$B$4)^7+J10/(1+'07_Assumptions'!$B$4)^8+K10/(1+'07_Assumptions'!$B$4)^9+$K$10*'07_Assumptions'!$C$27/(1+'07_Assumptions'!$B$4)^9
02_Shared_Julong,C17,=D10/(1+'07_Assumptions'!$B$4)^1+E10/(1+'07_Assumptions'!$B$4)^2+F10/(1+'07_Assumptions'!$B$4)^3+G10/(1+'07_Assumptions'!$B$4)^4+H10/(1+'07_Assumptions'!$B$4)^5+I10/(1+'07_Assumptions'!$B$4)^6+J10/(1+'07_Assumptions'!$B$4)^7+K10/(1+'07_Assumptions'!$B$4)^8+$K$10*'07_Assumptions'!$C$27/(1+'07_Assumptions'!$B$4)^8
02_Shared_Julong,D17,=E10/(1+'07_Assumptions'!$B$4)^1+F10/(1+'07_Assumptions'!$B$4)^2+G10/(1+'07_Assumptions'!$B$4)^3+H10/(1+'07_Assumptions'!$B$4)^4+I10/(1+'07_Assumptions'!$B$4)^5+J10/(1+'07_Assumptions'!$B$4)^6+K10/(1+'07_Assumptions'!$B$4)^7+$K$10*'07_Assumptions'!$C$27/(1+'07_Assumptions'!$B$4)^7
02_Shared_Julong,E17,=F10/(1+'07_Assumptions'!$B$4)^1+G10/(1+'07_Assumptions'!$B$4)^2+H10/(1+'07_Assumptions'!$B$4)^3+I10/(1+'07_Assumptions'!$B$4)^4+J10/(1+'07_Assumptions'!$B$4)^5+K10/(1+'07_Assumptions'!$B$4)^6+$K$10*'07_Assumptions'!$C$27/(1+'07_Assumptions'!$B$4)^6
02_Shared_Julong,F17,=G10/(1+'07_Assumptions'!$B$4)^1+H10/(1+'07_Assumptions'!$B$4)^2+I10/(1+'07_Assumptions'!$B$4)^3+J10/(1+'07_Assumptions'!$B$4)^4+K10/(1+'07_Assumptions'!$B$4)^5+$K$10*'07_Assumptions'!$C$27/(1+'07_Assumptions'!$B$4)^5
02_Shared_Julong,G17,=H10/(1+'07_Assumptions'!$B$4)^1+I10/(1+'07_Assumptions'!$B$4)^2+J10/(1+'07_Assumptions'!$B$4)^3+K10/(1+'07_Assumptions'!$B$4)^4+$K$10*'07_Assumptions'!$C$27/(1+'07_Assumptions'!$B$4)^4
02_Shared_Julong,H17,=I10/(1+'07_Assumptions'!$B$4)^1+J10/(1+'07_Assumptions'!$B$4)^2+K10/(1+'07_Assumptions'!$B$4)^3+$K$10*'07_Assumptions'!$C$27/(1+'07_Assumptions'!$B$4)^3
02_Shared_Julong,I17,=J10/(1+'07_Assumptions'!$B$4)^1+K10/(1+'07_Assumptions'!$B$4)^2+$K$10*'07_Assumptions'!$C$27/(1+'07_Assumptions'!$B$4)^2
02_Shared_Julong,J17,=K10/(1+'07_Assumptions'!$B$4)^1+$K$10*'07_Assumptions'!$C$27/(1+'07_Assumptions'!$B$4)^1
02_Shared_Julong,K17,=K10*'07_Assumptions'!$C$27
02_Shared_Julong,B18,=C10/(1+'07_Assumptions'!$B$4)^1+D10/(1+'07_Assumptions'!$B$4)^2+E10/(1+'07_Assumptions'!$B$4)^3+F10/(1+'07_Assumptions'!$B$4)^4+G10/(1+'07_Assumptions'!$B$4)^5+H10/(1+'07_Assumptions'!$B$4)^6+I10/(1+'07_Assumptions'!$B$4)^7+J10/(1+'07_Assumptions'!$B$4)^8+K10/(1+'07_Assumptions'!$B$4)^9+$K$10*'07_Assumptions'!$D$27/(1+'07_Assumptions'!$B$4)^9
02_Shared_Julong,C18,=D10/(1+'07_Assumptions'!$B$4)^1+E10/(1+'07_Assumptions'!$B$4)^2+F10/(1+'07_Assumptions'!$B$4)^3+G10/(1+'07_Assumptions'!$B$4)^4+H10/(1+'07_Assumptions'!$B$4)^5+I10/(1+'07_Assumptions'!$B$4)^6+J10/(1+'07_Assumptions'!$B$4)^7+K10/(1+'07_Assumptions'!$B$4)^8+$K$10*'07_Assumptions'!$D$27/(1+'07_Assumptions'!$B$4)^8
03_Zangge_Unique,C6,=B6*(1+'07_Assumptions'!$B$12)
03_Zangge_Unique,D6,=C6*(1+'07_Assumptions'!$B$12)
03_Zangge_Unique,E6,=D6*(1+'07_Assumptions'!$B$12)
03_Zangge_Unique,F6,=E6*(1+'07_Assumptions'!$B$12)
03_Zangge_Unique,G6,=F6*(1+'07_Assumptions'!$B$12)
03_Zangge_Unique,H6,=G6*(1+'07_Assumptions'!$B$12)
03_Zangge_Unique,I6,=H6*(1+'07_Assumptions'!$B$12)
03_Zangge_Unique,J6,=I6*(1+'07_Assumptions'!$B$12)
03_Zangge_Unique,K6,=J6*(1+'07_Assumptions'!$B$12)
03_Zangge_Unique,B7,=B4*1000*(B5/1.09-B6)/1000000000
03_Zangge_Unique,C7,=C4*1000*(C5/1.09-C6)/1000000000
03_Zangge_Unique,D7,=D4*1000*(D5/1.09-D6)/1000000000
03_Zangge_Unique,E7,=E4*1000*(E5/1.09-E6)/1000000000
03_Zangge_Unique,F7,=F4*1000*(F5/1.09-F6)/1000000000
03_Zangge_Unique,G7,=G4*1000*(G5/1.09-G6)/1000000000
03_Zangge_Unique,H7,=H4*1000*(H5/1.09-H6)/1000000000
03_Zangge_Unique,I7,=I4*1000*(I5/1.09-I6)/1000000000
03_Zangge_Unique,J7,=J4*1000*(J5/1.09-J6)/1000000000
03_Zangge_Unique,K7,=K4*1000*(K5/1.09-K6)/1000000000
03_Zangge_Unique,C10,=B10*(1+'07_Assumptions'!$B$12)
03_Zangge_Unique,D10,=C10*(1+'07_Assumptions'!$B$12)
03_Zangge_Unique,E10,=D10*(1+'07_Assumptions'!$B$12)
03_Zangge_Unique,F10,=E10*(1+'07_Assumptions'!$B$12)
03_Zangge_Unique,G10,=F10*(1+'07_Assumptions'!$B$12)
03_Zangge_Unique,H10,=G10*(1+'07_Assumptions'!$B$12)
03_Zangge_Unique,I10,=H10*(1+'07_Assumptions'!$B$12)
03_Zangge_Unique,J10,=I10*(1+'07_Assumptions'!$B$12)
03_Zangge_Unique,K10,=J10*(1+'07_Assumptions'!$B$12)
03_Zangge_Unique,B11,=B8*1000*((B9*1000)/1.13-(B10*1000))/1000000000
03_Zangge_Unique,C11,=C8*1000*((C9*1000)/1.13-(C10*1000))/1000000000
03_Zangge_Unique,D11,=D8*1000*((D9*1000)/1.13-(D10*1000))/1000000000
03_Zangge_Unique,E11,=E8*1000*((E9*1000)/1.13-(E10*1000))/1000000000
03_Zangge_Unique,F11,=F8*1000*((F9*1000)/1.13-(F10*1000))/1000000000
03_Zangge_Unique,G11,=G8*1000*((G9*1000)/1.13-(G10*1000))/1000000000
03_Zangge_Unique,H11,=H8*1000*((H9*1000)/1.13-(H10*1000))/1000000000
03_Zangge_Unique,I11,=I8*1000*((I9*1000)/1.13-(I10*1000))/1000000000
03_Zangge_Unique,J11,=J8*1000*((J9*1000)/1.13-(J10*1000))/1000000000
03_Zangge_Unique,K11,=K8*1000*((K9*1000)/1.13-(K10*1000))/1000000000
03_Zangge_Unique,B12,=(B7+B11)*'07_Assumptions'!$B$16
03_Zangge_Unique,C12,=(C7+C11)*'07_Assumptions'!$B$16
03_Zangge_Unique,D12,=(D7+D11)*'07_Assumptions'!$B$16
03_Zangge_Unique,E12,=(E7+E11)*'07_Assumptions'!$B$16
03_Zangge_Unique,F12,=(F7+F11)*'07_Assumptions'!$B$16
03_Zangge_Unique,G12,=(G7+G11)*'07_Assumptions'!$B$16
03_Zangge_Unique,H12,=(H7+H11)*'07_Assumptions'!$B$16
03_Zangge_Unique,I12,=(I7+I11)*'07_Assumptions'!$B$16
03_Zangge_Unique,J12,=(J7+J11)*'07_Assumptions'!$B$16
03_Zangge_Unique,K12,=(K7+K11)*'07_Assumptions'!$B$16
03_Zangge_Unique,B13,=B12*90%
03_Zangge_Unique,C13,=C12*90%
03_Zangge_Unique,D13,=D12*90%
03_Zangge_Unique,E13,=E12*90%
03_Zangge_Unique,F13,=F12*90%
03_Zangge_Unique,G13,=G12*90%
03_Zangge_Unique,H13,=H12*90%
03_Zangge_Unique,I13,=I12*90%
03_Zangge_Unique,J13,=J12*90%
03_Zangge_Unique,K13,=K12*90%
03_Zangge_Unique,E16,=D16*(1+'07_Assumptions'!$B$12)
03_Zangge_Unique,F16,=E16*(1+'07_Assumptions'!$B$12)
03_Zangge_Unique,G16,=F16*(1+'07_Assumptions'!$B$12)
03_Zangge_Unique,H16,=G16*(1+'07_Assumptions'!$B$12)
03_Zangge_Unique,I16,=H16*(1+'07_Assumptions'!$B$12)
03_Zangge_Unique,J16,=I16*(1+'07_Assumptions'!$B$12)
03_Zangge_Unique,K16,=J16*(1+'07_Assumptions'!$B$12)
03_Zangge_Unique,B17,=B15*1000*((B9*1000)/1.13-(B16*1000))/1000000000*'07_Assumptions'!$B$8
03_Zangge_Unique,C17,=C15*1000*((C9*1000)/1.13-(C16*1000))/1000000000*'07_Assumptions'!$B$8
03_Zangge_Unique,D17,=D15*1000*((D9*1000)/1.13-(D16*1000))/1000000000*'07_Assumptions'!$B$8
03_Zangge_Unique,E17,=E15*1000*((E9*1000)/1.13-(E16*1000))/1000000000*'07_Assumptions'!$B$8
03_Zangge_Unique,F17,=F15*1000*((F9*1000)/1.13-(F16*1000))/1000000000*'07_Assumptions'!$B$8
03_Zangge_Unique,G17,=G15*1000*((G9*1000)/1.13-(G16*1000))/1000000000*'07_Assumptions'!$B$8
03_Zangge_Unique,H17,=H15*1000*((H9*1000)/1.13-(H16*1000))/1000000000*'07_Assumptions'!$B$8
03_Zangge_Unique,I17,=I15*1000*((I9*1000)/1.13-(I16*1000))/1000000000*'07_Assumptions'!$B$8
03_Zangge_Unique,J17,=J15*1000*((J9*1000)/1.13-(J16*1000))/1000000000*'07_Assumptions'!$B$8
03_Zangge_Unique,K17,=K15*1000*((K9*1000)/1.13-(K16*1000))/1000000000*'07_Assumptions'!$B$8
03_Zangge_Unique,B18,=B17*'07_Assumptions'!$B$17
03_Zangge_Unique,C18,=C17*'07_Assumptions'!$B$17
03_Zangge_Unique,D18,=D17*'07_Assumptions'!$B$17
03_Zangge_Unique,E18,=E17*'07_Assumptions'!$B$17
03_Zangge_Unique,F18,=F17*'07_Assumptions'!$B$17
03_Zangge_Unique,G18,=G17*'07_Assumptions'!$B$17
03_Zangge_Unique,H18,=H17*'07_Assumptions'!$B$17
03_Zangge_Unique,I18,=I17*'07_Assumptions'!$B$17
03_Zangge_Unique,J18,=J17*'07_Assumptions'!$B$17
03_Zangge_Unique,K18,=K17*'07_Assumptions'!$B$17
03_Zangge_Unique,B20,=B18*B19*'07_Assumptions'!$B$18
03_Zangge_Unique,C20,=C18*C19*'07_Assumptions'!$B$18
03_Zangge_Unique,D20,=D18*D19*'07_Assumptions'!$B$18
03_Zangge_Unique,E20,=E18*E19*'07_Assumptions'!$B$18
03_Zangge_Unique,F20,=F18*F19*'07_Assumptions'!$B$18
03_Zangge_Unique,G20,=G18*G19*'07_Assumptions'!$B$18
03_Zangge_Unique,H20,=H18*H19*'07_Assumptions'!$B$18
03_Zangge_Unique,I20,=I18*I19*'07_Assumptions'!$B$18
03_Zangge_Unique,J20,=J18*J19*'07_Assumptions'!$B$18
03_Zangge_Unique,K20,=K18*K19*'07_Assumptions'!$B$18
03_Zangge_Unique,B24,=C13/(1+'07_Assumptions'!$B$4)^1+D13/(1+'07_Assumptions'!$B$4)^2+E13/(1+'07_Assumptions'!$B$4)^3+F13/(1+'07_Assumptions'!$B$4)^4+G13/(1+'07_Assumptions'!$B$4)^5+H13/(1+'07_Assumptions'!$B$4)^6+I13/(1+'07_Assumptions'!$B$4)^7+J13/(1+'07_Assumptions'!$B$4)^8+K13/(1+'07_Assumptions'!$B$4)^9+$K$13*'07_Assumptions'!$B$28/(1+'07_Assumptions'!$B$4)^9
03_Zangge_Unique,C24,=D13/(1+'07_Assumptions'!$B$4)^1+E13/(1+'07_Assumptions'!$B$4)^2+F13/(1+'07_Assumptions'!$B$4)^3+G13/(1+'07_Assumptions'!$B$4)^4+H13/(1+'07_Assumptions'!$B$4)^5+I13/(1+'07_Assumptions'!$B$4)^6+J13/(1+'07_Assumptions'!$B$4)^7+K13/(1+'07_Assumptions'!$B$4)^8+$K$13*'07_Assumptions'!$B$28/(1+'07_Assumptions'!$B$4)^8
03_Zangge_Unique,D24,=E13/(1+'07_Assumptions'!$B$4)^1+F13/(1+'07_Assumptions'!$B$4)^2+G13/(1+'07_Assumptions'!$B$4)^3+H13/(1+'07_Assumptions'!$B$4)^4+I13/(1+'07_Assumptions'!$B$4)^5+J13/(1+'07_Assumptions'!$B$4)^6+K13/(1+'07_Assumptions'!$B$4)^7+$K$13*'07_Assumptions'!$B$28/(1+'07_Assumptions'!$B$4)^7
03_Zangge_Unique,E24,=F13/(1+'07_Assumptions'!$B$4)^1+G13/(1+'07_Assumptions'!$B$4)^2+H13/(1+'07_Assumptions'!$B$4)^3+I13/(1+'07_Assumptions'!$B$4)^4+J13/(1+'07_Assumptions'!$B$4)^5+K13/(1+'07_Assumptions'!$B$4)^6+$K$13*'07_Assumptions'!$B$28/(1+'07_Assumptions'!$B$4)^6
04_Zangge_Valuation,B4,='02_Shared_Julong'!B8*'07_Assumptions'!$B$5
04_Zangge_Valuation,C4,='02_Shared_Julong'!C8*'07_Assumptions'!$B$5
04_Zangge_Valuation,D4,='02_Shared_Julong'!D8*'07_Assumptions'!$B$5
04_Zangge_Valuation,E4,='02_Shared_Julong'!E8*'07_Assumptions'!$B$5
04_Zangge_Valuation,F4,='02_Shared_Julong'!F8*'07_Assumptions'!$B$5
04_Zangge_Valuation,G4,='02_Shared_Julong'!G8*'07_Assumptions'!$B$5
04_Zangge_Valuation,H4,='02_Shared_Julong'!H8*'07_Assumptions'!$B$5
04_Zangge_Valuation,I4,='02_Shared_Julong'!I8*'07_Assumptions'!$B$5
04_Zangge_Valuation,J4,='02_Shared_Julong'!J8*'07_Assumptions'!$B$5
04_Zangge_Valuation,K4,='02_Shared_Julong'!K8*'07_Assumptions'!$B$5
04_Zangge_Valuation,B5,='03_Zangge_Unique'!B12
04_Zangge_Valuation,C5,='03_Zangge_Unique'!C12
04_Zangge_Valuation,D5,='03_Zangge_Unique'!D12
04_Zangge_Valuation,E5,='03_Zangge_Unique'!E12
04_Zangge_Valuation,F5,='03_Zangge_Unique'!F12
04_Zangge_Valuation,G5,='03_Zangge_Unique'!G12
04_Zangge_Valuation,H5,='03_Zangge_Unique'!H12
04_Zangge_Valuation,I5,='03_Zangge_Unique'!I12
04_Zangge_Valuation,J5,='03_Zangge_Unique'!J12
04_Zangge_Valuation,K5,='03_Zangge_Unique'!K12
04_Zangge_Valuation,B6,='03_Zangge_Unique'!B18
04_Zangge_Valuation,C6,='03_Zangge_Unique'!C18
04_Zangge_Valuation,D6,='03_Zangge_Unique'!D18
04_Zangge_Valuation,E6,='03_Zangge_Unique'!E18
04_Zangge_Valuation,F6,='03_Zangge_Unique'!F18
04_Zangge_Valuation,G6,='03_Zangge_Unique'!G18
04_Zangge_Valuation,H6,='03_Zangge_Unique'!H18
04_Zangge_Valuation,I6,='03_Zangge_Unique'!I18
04_Zangge_Valuation,J6,='03_Zangge_Unique'!J18
04_Zangge_Valuation,K6,='03_Zangge_Unique'!K18
04_Zangge_Valuation,B7,=SUM(B4:B6)
04_Zangge_Valuation,C7,=SUM(C4:C6)
04_Zangge_Valuation,D7,=SUM(D4:D6)
04_Zangge_Valuation,E7,=SUM(E4:E6)
04_Zangge_Valuation,F7,=SUM(F4:F6)
04_Zangge_Valuation,G7,=SUM(G4:G6)
04_Zangge_Valuation,H7,=SUM(H4:H6)
04_Zangge_Valuation,I7,=SUM(I4:I6)
04_Zangge_Valuation,J7,=SUM(J4:J6)
04_Zangge_Valuation,K7,=SUM(K4:K6)
04_Zangge_Valuation,B8,=B7/'07_Assumptions'!$B$9
04_Zangge_Valuation,C8,=C7/'07_Assumptions'!$B$9
04_Zangge_Valuation,D8,=D7/'07_Assumptions'!$B$9
04_Zangge_Valuation,E8,=E7/'07_Assumptions'!$B$9
04_Zangge_Valuation,F8,=F7/'07_Assumptions'!$B$9
04_Zangge_Valuation,G8,=G7/'07_Assumptions'!$B$9
04_Zangge_Valuation,H8,=H7/'07_Assumptions'!$B$9
04_Zangge_Valuation,I8,=I7/'07_Assumptions'!$B$9
04_Zangge_Valuation,J8,=J7/'07_Assumptions'!$B$9
04_Zangge_Valuation,K8,=K7/'07_Assumptions'!$B$9
04_Zangge_Valuation,B10,='02_Shared_Julong'!B10*'07_Assumptions'!$B$5+'03_Zangge_Unique'!B13+'03_Zangge_Unique'!B20
04_Zangge_Valuation,C10,='02_Shared_Julong'!C10*'07_Assumptions'!$B$5+'03_Zangge_Unique'!C13+'03_Zangge_Unique'!C20
