source_id,company,document_name,document_type,publish_date,reporting_period,accessed_date,url_or_file,page_or_section,supported_metric_id,source_grade,summary,note
SRC_CU_2025,中国联通,China Unicom 2025 Annual Results,公司官方业绩,2026-03-19,FY2025,2026-08-03,https://www.chinaunicom.com.hk/en/media/press/p260319.pdf,pp.1-5,PEER_CU_*,A,中国联通2025服务收入、净利润、资本开支、自由现金流、派息率及算力业务。,
SRC_CT_2025_PRESENTATION_P2,中国电信,2025 Annual Results Presentation,官方业绩演示,2026-03-24,FY2025,2026-08-03,https://www.chinatelecom-h.com/en/ir/presentations/annpre260324.pdf,"pp.5-10, 20, 25, 31-33",业务增速、项目/资源型收入、合同额、AI/AIDC容量、2026资本开支、内部AI降本,A,2025业务拆分、项目合同额、云/AIDC/智能收入、算力资源、共建共享和2026资本开支指引。,
SRC_CT_2025_MDA_P2,中国电信,2025 Annual Report - Management Discussion and Analysis,官方年报,2026-03-24,FY2025,2026-08-03,https://www.chinatelecom-h.com/en/ir/report/annual2025/annual2025_07.pdf,pp.30-35,成本、资本开支、经营现金流及回款说明,A,说明2025经营现金流下降与产业数字化回款周期及应收增加有关，并披露成本和资本开支。,
SRC_CT_2025_NOTES_P2,中国电信,2025 Annual Report - Notes to Consolidated Financial Statements,官方年报,2026-03-24,FY2025,2026-08-03,https://www.chinatelecom-h.com/en/ir/report/annual2025/annual2025_19.pdf,"Notes 10, 16, 17, 40, 43",企业客户应收账龄及准备、中国铁塔权益和交易、合同资产,A,企业客户应收账款、预期信用损失、中国铁塔20.5%权益及租赁交易明细。,
SRC_CT_2025_INTERIM_P2,中国电信,2025 Interim Report,官方中报,2025-08,1H2025,2026-08-03,https://www.chinatelecom-h.com/en/ir/report/interim2025.pdf,经营回顾及产业数字化业务,1H25云、AIDC、智能、安全和物联网增速,A,用于判断全年新业务增速的前后半程变化。,
SRC_CAict_CLOUD_2025,行业,云计算蓝皮书（2025年）,行业白皮书,2025-07,2024,2026-08-03,https://www.caict.ac.cn/kxyj/qwfb/bps/202507/P020250722583603558109.pdf,"pp.16-23, 27-29",2024云计算市场、IaaS、央国企和政务云需求,B,2024中国云计算市场8288亿元，公有云6216亿元，AI算力和智能体成为增长驱动。,行业市场口径不能直接与公司天翼云披露收入计算精确份额。
SRC_CAict_AI_INFRA_2025,行业,人工智能算力基础设施赋能研究报告（2025年）,行业研究报告,2025-11,2025,2026-08-03,https://www.caict.ac.cn/kxyj/qwfb/ztbg/202511/P020251106555844142999.pdf,pp.7-18,全国智算规模、利用率风险、需求场景和运营能力,B,2025年6月底全国在用算力中心1085万标准机架、智能算力788EFlops；不同智算中心负载差异较大。,
SRC_CM_2025_COSTS,中国移动,China Mobile Annual Report 2025,同业官方年报,2026-04-23,FY2025,2026-08-03,https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0423/2026042300752.pdf,Consolidated statement of comprehensive income / operating expenses,同业销售、人工、网络和折旧费用率,A,2025营业收入10501.87亿元，网络、折旧、人工、销售费用分别为2856.98、1899.99、1541.04、561.84亿元。,
SRC_CU_2025_COSTS,中国联通,China Unicom Annual Results 2025,同业官方业绩,2026-03-19,FY2025,2026-08-03,https://doc.irasia.com/listco/hk/chinaunicom/annual/2025/res.pdf,pp.27-30,同业成本率、资本开支、自由现金流,A,2025联通销售、人工、网络和折旧费用率分别为9.6%、17.0%、16.6%和20.6%。,
SRC_CU_COBUILD_2023,中国联通,China Unicom Annual Report 2023 - Chairman's Statement,同业官方年报,2024-03-19,FY2023,2026-08-03,https://ar2023.chinaunicom.com.hk/English/chairmans-statement.html,网络共建共享,共建共享累计资本开支及年度运营费用节省边界,A,联通披露2023年共建共享累计节省资本开支约3400亿元、年度运营费用约390亿元。,属于联通口径和网络协同总体效果，不能简单按一半分配给中国电信。
SRC_MODEL_P3_ASSUMPTIONS,中国电信,Phase 3 scenario assumptions,模型假设,2026-08-03,2026E-2035E,2026-08-03,/mnt/data/中国电信_operator_model_P3.xlsx,02_Drivers,"Forecast drivers, contribution margins, DSO, capex, payout",D,基于G2历史诊断、2026Q1和行业边界校准的Bear/Base/Bull假设。,属于模型假设，不是公司指引；2026资本开支730亿元为公司指引锚点。
SRC_MODEL_P3_FORECAST,中国电信,Phase 3 forecast model,模型输出,2026-08-03,2026E-2035E,2026-08-03,/mnt/data/中国电信_operator_model_P3.xlsx,03_Forecast,"Revenue, EBIT, net profit, CFO, FCFF, dividend and per-share forecasts",D,分业务收入、贡献利润、资本开支、折旧、现金流和分红的公式化预测。,
SRC_MODEL_P3_Q1CHECK,中国电信,2026Q1 forecast validation,模型校验,2026-08-03,2026Q1,2026-08-03,/mnt/data/中国电信_operator_model_P3.xlsx,05_Checks,2026Q1 completion rates and annualised gaps,D,将2026Q1实际值与2026全年Base预测比较。,现金流、资本开支和利润存在季节性，不将四倍年化值机械视为全年预测。
SRC_MKT_A_20260731,中国电信,中国电信A股2026年7月31日收盘行情,市场行情,2026-07-31,2026-07-31,2026-08-03,https://cn.investing.com/equities/china-telecom-corp,2026-07-31 close,MKT_A_PRICE,B,中国电信A股2026年7月31日收盘价6.30元。,
SRC_MKT_H_20260731,中国电信,China Telecom 0728.HK market quote,市场行情,2026-07-31,2026-07-31,2026-08-03,https://www.reuters.com/markets/companies/0728.HK/,2026-07-31 delayed close,MKT_H_PRICE,B,中国电信H股2026年7月31日价格4.74港元。,
SRC_FX_20260731,市场,HKD/CNY exchange-rate history,外汇行情,2026-07-31,2026-07-31,2026-08-03,https://www.exchangerates.org.uk/HKD-CNY-spot-exchange-rates-history-2026.html,31 July 2026,MKT_HKDCNY,B,2026年7月31日1港元约等于0.8608元人民币。,
SRC_CHANNEL_RULE_20260731,行业,8月1日起三大运营商停止第三方互联网渠道办卡,新华社报道/运营商公告,2026-07-31,2026-08-01 onward,2026-08-03,https://www.news.cn/politics/20260731/eb5f55641bb54eca8376126bf611ea9f/c.html,全文,SENS_CHANNEL_REDUCTION,A,自2026年8月1日起，其他第三方互联网渠道不再提供号卡办理服务。,确认的是号卡渠道规范，不等于统一上调存量套餐价格。
SRC_VAT_CHANGE_20260201,行业,基础电信服务增值税率由6%调整至9%,运营商公告摘要,2026-02-01,2026 onward,2026-08-03,https://www.cls.cn/detail/2276829,运营商公告摘要,SENS_VAT_RATE,A,手机流量、短信和彩信、互联网宽带接入等业务适用税率从6%调整至9%。,2026Q1实际数据已包含影响，模型不重复扣减。
SRC_A_DIV_TAX_2026,中国电信,2025年年度A股利润分配实施公告,公司公告,2026-06-02,2025 dividend,2026-08-03,https://doc.irasia.com/listco/cn/chinatelecom/announcement/sca260603b.pdf,扣税说明,MKT_A_DIV_TAX,A,A股自然人持股超过1年，股息红利暂免个人所得税。,模型长期持有假设使用0%股息税。
SRC_H_DIV_TAX_2025,中国电信,2025 Interim Report,公司报告,2025-08-14,H-share dividend taxation,2026-08-03,https://www.chinatelecom-h.com/en/ir/report/interim2025.pdf,Southbound Trading Link dividend tax,MKT_H_DIV_TAX,A,内地个人投资者通过港股通投资H股，股息按20%代扣个人所得税。,
SRC_VALUATION_MARKET_2026,行业,运营商市场估值参考,市场数据,2026-07-31,2026-07-31,2026-08-03,https://www.google.com/finance/quote/0728:HKG,市场价格、PE和股息率,VAL_TARGET_PE_PB_EV,C,用于约束A/H股目标倍数，目标PE、PB和EV/EBITDA仍属于模型假设。,
SRC_MODEL_P4_VALUATION,中国电信,Phase 4 valuation and sensitivity model,模型输出,2026-08-03,2025-2035,2026-08-03,/mnt/data/中国电信_operator_model_Final.xlsx,04_Valuation,"VAL_*,IRR_*,SENS_PACKAGE_*",D,DCF、PE、PB、DDM、EV/EBITDA、滚动合理股价、IRR和套餐/渠道敏感性。,
SRC_MODEL_P5_AUDIT,中国电信,Phase 5封版复核与一致性审计,模型审计,2026-08-03,Phase 5,2026-08-03,/mnt/data/中国电信_operator_model_Phase5封版.xlsx,"00_Control, 04_Valuation, 05_Checks及封版报告","AUDIT_*,CF_FCFF_MODEL",D,复核公式、来源覆盖、唯一键、报告与模型一致性、估值时间口径及套餐敏感性是否重复计入。,修复控制页市场输入覆盖历史数据，以及2025 FCFF报告口径。
