source_id,company,document_name,document_type,publish_date,reporting_period,accessed_date,url_or_file,page_or_section,supported_metric_id,source_grade,summary,note
S_A2023,中国联通,中国联合网络通信股份有限公司2023年年度报告,A股年报,2024-03,2023A,2026-08-03,https://stockn.xueqiu.com/SH600050/20240319876965.pdf,主要财务数据；合并财务报表；利润分配,A_FIN_*;ENTITY_*;DIV_*;BS_*,A,支持2023年A股归母、少数股东、现金流、净资产和分红。,公司公告或公告镜像。
S_A2024,中国联通,中国联合网络通信股份有限公司2024年年度报告,A股年报,2025-03,2024A,2026-08-03,https://vip.stock.finance.sina.com.cn/corp/view/vCB_AllBulletinDetail.php?id=10790581&stockid=600050,主要财务数据；合并财务报表；利润分配,A_FIN_*;ENTITY_*;DIV_*;BS_*,A,支持2024年A股归母、少数股东、现金流、净资产和分红。,公司公告或公告镜像。
S_A2025,中国联通,中国联合网络通信股份有限公司2025年年度报告,A股年报,2026-03,2025A,2026-08-03,https://stockmc.xueqiu.com/202603/600050_20260320_R37Q.pdf,主要财务数据；合并财务报表；利润分配,A_FIN_*;ENTITY_*;DIV_*;BS_*,A,支持2025年A股归母、少数股东、现金流、净资产和分红。,公司公告或公告镜像。
S_A2026Q1,中国联通,中国联合网络通信股份有限公司2026年第一季度报告,A股季报,2026-04-22,2026Q1,2026-08-03,https://stockmc.xueqiu.com/202604/600050_20260422_763Q.pdf,经营情况；季度财务报表,A_FIN_*_Q1;OP_*_Q1;REV_COMPUTE_Q1,A,支持2026Q1最新财务、用户、算力、云、IoT、国际和安全业务。,未经审计。
S_OP2025M12,中国联通,中国联通2025年12月份运营数据,运营公告,2026-03,2025M12,2026-08-03,https://dataclouds.cninfo.com.cn/shgonggao/hsomarket/2026/20260319/bf1cbab66b9845e29a7700cff597ff13.PDF,运营数据表,OP_CONN_TOTAL;OP_5G_NETWORK_SUBS;OP_IOT_CONN,A,支持2025年末运营数据。,
S_MIIT2020,行业,2020年通信业统计公报,政府/工信部,2021-01,2020A,2026-08-03,https://www.cac.gov.cn/2021-01/29/c_1613494532882623.htm,行业收入与业务结构,IND_*_2020,A,支持2020年行业数据。,
S_MIIT2021,行业,2021年通信业统计公报,政府/工信部,2022-01,2021A,2026-08-03,https://www.gov.cn/xinwen/2022-01/27/content_5670783.htm,行业收入,IND_*_2021,A,支持2021年行业数据。,
S_MIIT2022,行业,2022年通信业统计公报,政府/工信部,2023-02,2022A,2026-08-03,https://www.gov.cn/xinwen/2023-02/02/content_5739718.htm,行业收入与业务结构,IND_*_2022,A,支持2022年行业数据。,
S_MIIT2023,行业,2023年通信业统计公报,政府/工信部,2024-01,2023A,2026-08-03,https://www.gov.cn/lianbo/bumen/202401/content_6928213.htm,行业收入,IND_*_2023,A,支持2023年行业数据。,
S_MIIT2024,行业,2024年通信业统计公报,政府/工信部,2025-01,2024A,2026-08-03,https://gxj.gz.gov.cn/yw/tzgg/content/post_10101977.html,行业收入与新兴业务,IND_*_2024,A,支持2024年行业数据。,政府转载。
S_MIIT2025,行业,2025年通信业统计公报,政府/工信部,2026-01,2025A,2026-08-03,https://www.gov.cn/lianbo/bumen/202601/content_7041672.htm,行业收入、业务结构和用户,IND_*_2025,A,支持2025年行业数据。,
S_CM2025,中国移动,中国移动2025年全年业绩,同业官方,2026-03-26,2025A,2026-08-03,https://www.10086.cn/aboutus/news/groupnews/index_detail_54698.html,主要经营财务指标,PEER_CM_*,A,支持中国移动2025年轻量对标。,
S_CT2025,中国电信,China Telecom 2025 Annual Results,同业官方,2026-03-24,2025A,2026-08-03,https://www.chinatelecom-h.com/en/media/press/p260324.pdf,主要经营财务指标,PEER_CT_*,A,支持中国电信2025年轻量对标。,
S_H2025_PRESENTATION,中国联通,China Unicom 2025 Annual Results Presentation,业绩演示,2026-03-19,2025A,2026-08-03,https://www.chinaunicom.com.hk/en/ir/presentations/pre260319.pdf,Slides 3–12,DIAG_COMPUTE_*;DIAG_AIDC_*;DIAG_CONNECTIVITY_*;SHARED_*,A,支持算力收入占比、AI增速、资本开支、AIDC机架/利用率、连接用户、IoT和5G专网等诊断。,管理口径互相重叠，不能直接加总。
S_H2025_TRANSCRIPT,中国联通,China Unicom 2025 Annual Results Presentation Transcript,管理层演讲实录,2026-03-19,2025A/2026E,2026-08-03,https://www.chinaunicom.com.hk/en/ir/transcript/transcript_25ar.pdf,Slides 3–10 and management commentary,DRV_CAPEX_RATE;DRV_COMPUTE_GROWTH;DIAG_STRATEGY_*,A,支持2026年资本开支约500亿元、算力投资占比超过35%、网络共建共享和四大核心赛道战略。,前瞻表述作为Assumption，不视为已实现事实。
S_CAICT_2026_COMPUTE,行业,先进计算暨算力发展指数蓝皮书,中国信通院报告,2026-03-06,2025H1,2026-08-03,https://www.caict.ac.cn/kxyj/qwfb/bps/202603/P020260306392232241580.pdf,算力基础设施规模,IND_COMPUTE_RACKS;DIAG_UNICOM_RACK_SHARE,B,截至2025年6月底，全国在用算力中心机架总规模约1085万标准机架。,与公司标准机架定义和时间点存在差异，份额只作粗略边界。
S_NBS_2025_TELECOM,行业,中华人民共和国2025年国民经济和社会发展统计公报,国家统计局公报,2026-02-28,2025A,2026-08-03,https://www.stats.gov.cn/sj/zxfb/202602/t20260228_1962662.html,信息通信用户,IND_FIXED_BB_USERS;IND_GIGABIT_USERS;IND_IOT_CONN,A,支持2025年固定宽带、千兆宽带和移动物联网终端用户规模。,
S_VAT_2026,行业,电信服务增值税税目适用范围调整,税收政策及运营商公告,2026-02-01,2026,2026-08-03,https://news.china.com.cn/2026-02/02/content_118311960.shtml,手机流量、短信彩信、互联网宽带接入,TAX_VAT_*;DIAG_VAT_IMPACT_*,A/B,自2026年1月1日起，手机流量、短信彩信和互联网宽带接入由6%增值税率调整至9%。,影响取决于合同定价是否含税、客户结构及成本抵扣，模型使用区间。
S_Q1_2026_CONTEXT,中国联通,中国联通2026年第一季度业绩公开摘要,季报公开摘要,2026-04-22,2026Q1,2026-08-03,https://finance.sina.com.cn/roll/2026-04-22/doc-inhvinun9576526.shtml,财务与业务摘要,DIAG_Q1_*,C,交叉验证2026Q1收入、A股归母利润、算力业务、用户和物联网数据。,核心数字以公司季报S_A2026Q1为准，本来源只作解释交叉验证。
S_A2025Q1,中国联通,中国联合网络通信股份有限公司2025年第一季度报告,A股季报,2025-04-17,2025Q1,2026-08-03,https://static.cninfo.com.cn/finalpage/2025-04-18/1223124988.PDF,第4页经营摘要；第6页合并利润表,VALIDATION_2025Q1_*;SEASONALITY_*,A,"支持2025Q1营业收入1,033.54亿元、A股归母净利润26.1亿元及用户、云、数据中心业务数据。",用于计算Q1全年完成率，不作为2026实际值。
S_CURRENT_DISCLOSURE_20260803,中国联通,中国联通上交所公告索引核查,交易所公告索引,2026-08-03,Current,2026-08-03,https://www.sse.com.cn/assortment/stock/list/info/announcement/index.shtml?productId=600050,截至2026-08-03定期报告与运营数据公告,CTRL_LATEST_PERIOD,A,截至核查日未检索到2026年半年度报告，最新正式财务期仍为2026Q1。,若2026H1后续披露，Phase 4前应刷新校验。
S_MARKET_A_20260731,中国联通,中国联通A股2026年7月31日行情,市场行情,2026-07-31,2026-07-31,2026-08-03,https://sg.finance.yahoo.com/quote/600050.SS/,2026-07-31 close,VAL_A_PRICE,C,600050.SH于2026年7月31日收盘4.46元。,行情用于估值基准；正式执行更新时应刷新。
S_MARKET_H_20260731,中国联通,China Unicom H股2026年7月31日行情,市场行情,2026-07-31,2026-07-31,2026-08-03,https://www.reuters.com/markets/companies/0762.HK/,2026-07-31 delayed close,VAL_H_PRICE,C,0762.HK于2026年7月31日报6.72港元。,行情用于估值基准；正式执行更新时应刷新。
S_FX_20260731,市场,2026年7月31日人民币汇率中间价,官方汇率,2026-07-31,2026-07-31,2026-08-03,https://fec.mofcom.gov.cn/article/zyfw/jrfw/jrfwywzn/jrfwwh/hlfxglzy/202607/7208.html,港元兑人民币,VAL_FX_HKD_CNY,A,1港元兑0.86559元人民币。,
S_SHARE_NOTICE_20260526,中国联通,关于注销回购股份并减少公司注册资本暨通知债权人公告,A股公告,2026-05-26,2026,2026-08-03,https://www.sse.com.cn/assortment/stock/list/info/announcement/index.shtml?productId=600050,公告索引,VAL_A_SHARES,A,截至核查日仅找到注销及通知债权人公告，未找到注销实施完成公告。,模型暂用2025年末股本，Phase 4后续更新必须复核。
S_CHANNEL_MOBILE_20260731,行业,中国移动关于规范互联网渠道号卡业务办理的公告,运营商官方公告,2026-07-31,2026-08-01起,2026-08-03,https://www.10086.cn/index/hb/index_270_712.html,公告,SENS_CHANNEL_POLICY,A,自2026年8月1日起，互联网号卡办理收归运营商官方渠道。,
S_CHANNEL_TELECOM_20260731,行业,中国电信关于规范互联网渠道售卡管理的公告,运营商官方公告,2026-07-31,2026-08-01起,2026-08-03,https://www.189.cn/web/notice/detail?cityCode=&offerCode=518877500001&order=1&provinceCode=609902&type=wt_sy_bzzx,公告,SENS_CHANNEL_POLICY,A,第三方互联网渠道不再提供电信号卡办理服务。,
S_CHANNEL_CNR_20260801,行业,三大运营商整治号卡乱象,中央媒体报道,2026-08-01,2026-08,2026-08-03,https://news.cnr.cn/native/gd/20260801/t20260801_527741025.shtml,全文,SENS_CHANNEL_POLICY;SENS_PRICE_RUMOR,B,三家同步收回第三方互联网售卡；官方渠道不受影响，低价卡存在多层代理、跨区域销售和价格竞争问题。,报道没有确认对存量用户进行普遍套餐涨价。
S_CHANNEL_BJD_20260731,行业,三大运营商集体叫停网络代理售卡,媒体调查,2026-07-31,2026-08,2026-08-03,https://xinwen.bjd.com.cn/content/s6a6c8ae7e4b03fa51a8250d1.html,套餐价差、代理渠道及专家评论,SENS_PRICE_RUMOR;SENS_CHANNEL_SAVING,C,第三方低价大流量卡与官方套餐价差显著；专家认为渠道收拢可能提高有效资费并减少无序价格竞争。,专家判断和媒体样本，不是公司财务指引。
S_MIIT_MARKET_20260720,行业,2026年上半年工业和信息化发展新闻发布会,工信部门公开信息,2026-07-20,2026H1,2026-08-03,https://www.miit-eidc.org.cn/art/2026/7/20/art_2011_12592.html,通信服务市场秩序,SENS_PRICE_RUMOR;SENS_CHANNEL_POLICY,A,工信部门提出加强资费管理和营销渠道管控，有效遏制基础电信市场非理性竞争。,同时强调维护用户合法权益，不代表批准普遍涨价。
S_PE_HISTORY_A_202607,中国联通,中国联通A股历史市盈率分位,第三方估值数据,2026-07-22,3-year,2026-08-03,https://www.lixinger.com/equity/company/detail/sh/600050/600050,市盈率分位,VAL_A_PE_TARGET,C,2026年7月A股PE约15.9倍，近三年20/50/80分位约16.9/18.0/18.9倍。,目标PE结合增长、现金流和市场折价后低于或接近历史中位。
S_H_PE_CURRENT_2026,中国联通,China Unicom H股当前PE,第三方估值数据,2026-07,Current,2026-08-03,https://tradingeconomics.com/762%3Ahk%3Ape,PE,VAL_H_PE_TARGET,C,H股当前PE约9.2倍。,
S_DIV_TAX_STOCK_CONNECT,税务,沪港通股息红利所得税政策,税务政策,2014-11-14,Current,2026-08-03,https://guangdong.chinatax.gov.cn/gdsw/grsdsgg_hmqsc_pyzbsc_ssgs/2021-08/31/content_82717867283b40ebb1d3909f8f5be5ae.shtml,内地个人投资者H股股息,VAL_H_DIV_TAX,A,内地个人通过沪港通持有H股的股息红利按20%代扣个人所得税。,
S_PHASE5_MODEL,中国联通,Phase 5投后监控与投资决策模型,模型衍生分析,2026-08-03,Post-valuation audit,2026-08-03,/mnt/data/operator_model_phase5.xlsx,00_Control、04_Valuation、05_Checks,P5_*,N/A,基于Phase 4最终模型反推隐含情景、目标回报买入价、模型脆弱性和季度触发规则。,全部为模型推导或分析判断，不是公司披露事实。
